date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:16:26	84/84	---MCZ	200	added ('OK')	text/plain	etag:W/%2231c3957713ef1d7462a3f80b6b9e3469%22	https://epsilonmenu.com/robots.txt		(from )
19:16:26	15686/15686	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:16:25%20GMT	https://epsilonmenu.com/	C:/My%20Web%20Sites/Shika/epsilonmenu.com/index.html	(from )
19:16:26	8065/8065	---M--	200	added ('OK')	image/png	etag:%22d60ee3117820d54955d4d1851bdc06c5%22	https://epsilonmenu.com/images/icon.png	C:/My%20Web%20Sites/Shika/epsilonmenu.com/images/icon.png	(from https://epsilonmenu.com/)
19:16:26	14477/14477	---MCZ	200	added ('OK')	text/css	etag:W/%22b9efa029a3be1f8e644a851b9eb19a9b%22	https://epsilonmenu.com/assets/style.css	C:/My%20Web%20Sites/Shika/epsilonmenu.com/assets/style.css	(from https://epsilonmenu.com/)
19:16:26	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/My%20Web%20Sites/Shika/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://epsilonmenu.com/)
19:16:26	7650/7650	---M--	200	added ('OK')	image/png	etag:%22c326172e57b31caf3c348f2fcfa2b3ce%22	https://epsilonmenu.com/images/logo.png	C:/My%20Web%20Sites/Shika/epsilonmenu.com/images/logo.png	(from https://epsilonmenu.com/)
19:16:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Dec%202025%2018:16:27%20GMT	https://epsilonmenu.com/download	C:/My%20Web%20Sites/Shika/epsilonmenu.com/download	(from https://epsilonmenu.com/)
19:16:27	32708/32708	---M--	200	added ('OK')	image/png	etag:%22dabbf5c1423c23a20565cb3bbeacaad5%22	https://epsilonmenu.com/images/epsilon-menu.png	C:/My%20Web%20Sites/Shika/epsilonmenu.com/images/epsilon-menu.png	(from https://epsilonmenu.com/)
19:16:27	14366/14366	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:16:27%20GMT	https://epsilonmenu.com/download/	C:/My%20Web%20Sites/Shika/epsilonmenu.com/download/index.html	(from https://epsilonmenu.com/)
19:16:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Dec%202025%2018:16:27%20GMT	https://epsilonmenu.com/privacy-policy	C:/My%20Web%20Sites/Shika/epsilonmenu.com/privacy-policy	(from https://epsilonmenu.com/)
19:16:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2011%20Dec%202025%2018:16:27%20GMT	https://epsilonmenu.com/terms-of-service	C:/My%20Web%20Sites/Shika/epsilonmenu.com/terms-of-service	(from https://epsilonmenu.com/)
19:16:28	528/528	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f513349a718a0153ef3a1dea80866c7%22	https://epsilonmenu.com/assets/script.js	C:/My%20Web%20Sites/Shika/epsilonmenu.com/assets/script.js	(from https://epsilonmenu.com/)
19:16:28	8590/8590	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:16:28%20GMT	https://epsilonmenu.com/privacy-policy/	C:/My%20Web%20Sites/Shika/epsilonmenu.com/privacy-policy/index.html	(from https://epsilonmenu.com/)
19:16:28	8429/8429	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Dec%202025%2018:16:28%20GMT	https://epsilonmenu.com/terms-of-service/	C:/My%20Web%20Sites/Shika/epsilonmenu.com/terms-of-service/index.html	(from https://epsilonmenu.com/)
